doodson °/hr l l' F D Ω (δR δI)[2~72,e-5;73~120,e-4] H(e-5m)
  245655  28.43973  1  0  2  0  2       2      0   12099
  255555  28.98410  0  0  2  0  2       2      0   63192
  125755  12.85429  2  0  2  0  2     -29      3    -664
  127555  12.92714  0  0  2  2  2     -30      3    -802
  135645  13.39645  1  0  2  0  1     -45      5    -947
  135655  13.39866  1  0  2  0  2     -46      5   -5020
  137455  13.47151 -1  0  2  2  2     -49      5    -954
  145545  13.94083  0  0  2  0  1     -82      7   -4946
  145555  13.94303  0  0  2  0  2     -83      7  -26221
  147555  14.02517  0  0  0  2  0     -91      9     343
  153655  14.41456  1  0  2 -2  2    -168     14     194
  155445  14.48520 -1  0  2  0  1    -193     16     137
  155455  14.48741 -1  0  2  0  2    -194     16     741
  155655  14.49669  1  0  0  0  0    -197     16    2062
  155665  14.49890  1  0  0  0  1    -198     16     414
  157455  14.56955 -1  0  0  2  0    -231     18     394
  157465  14.57176 -1  0  0  2  1    -233     18      87
  162556  14.91787  0  1  2 -2  2    -834     58    -714
  163545  14.95673  0  0  2 -2  1   -1117     76     137
  163555  14.95893  0  0  2 -2  2   -1138     77  -12203
  164554  15.00000  0 -1  2 -2  2   -1764    104     103
  164556  15.00000  0  1  0  0  0   -1764    104     289
  165345  15.02958 -2  0  2  0  1   -3048     92       7
  165535  15.03665  0  0  0  0 -2   -3630    195       4
  165545  15.03886  0  0  0  0 -1   -3845    229    -730
  165555  15.04107  0  0  0  0  0   -4084    262   36878
  165565  15.04328  0  0  0  0  1   -4355    297    5001
  165575  15.04548  0  0  0  0  2   -4665    334    -108
  166455  15.07749 -1  0  0  1  0   85693  21013    -0.6
  166544  15.07993  0 -1  0  0 -1   35203   2084     1.1
  166554  15.08214  0 -1  0  0  0   22794    358     293
  166556  15.08214  0  1 -2  2 -2   22780    358    -4.5
  166564  15.08434  0 -1  0  0  1   16842    -85       5
  167355  15.11392 -2  0  0  2  0    3755   -189      18
  167365  15.11613 -2  0  0  2  1    3552   -182       5
  167555  15.12321  0  0 -2  2 -2    3025   -160     525
  167565  15.12542  0  0 -2  2 -1    2892   -154     -20
  168554  15.16427  0 -1 -2  2 -2    1638    -93      31
  173655  15.51259  1  0  0 -2  0     370    -20     395
  173665  15.51480  1  0  0 -2  1     369    -20      78
  175445  15.58323 -1  0  0  0 -1     325    -17     -61
  175455  15.58545 -1  0  0  0  0     324    -17    2062
  175465  15.58765 -1  0  0  0  1     323    -16     409
  183555  16.05697  0  0  0 -2  0     194     -8     342
  185355  16.12989 -2  0  0  0  0     185     -7     169
  185555  16.13911  0  0 -2  0 -2     184     -7    1129
  185565  16.14131  0  0 -2  0 -1     184     -7     723
  185575  16.14352  0  0 -2  0  0     184     -7     151
  195455  16.68348 -1  0 -2  0 -2     141     -4     216
  195465  16.68569 -1  0 -2  0 -1     141     -4     138
   55565   0.00221  0  0  0  0  1    1347   -541    2793
   55575   0.00441  0  0  0  0  2    1124   -488     -27
   56554   0.04107  0 -1  0  0  0     547   -349    -492
   57555   0.08214  0  0 -2  2 -2     403   -315   -3100
   57565   0.08434  0  0 -2  2 -1     398   -313      77
   58554   0.12320  0 -1 -2  2 -2     326   -296    -181
   63655   0.47152  1  0  0 -2  0     101   -242    -673
   65445   0.54217 -1  0  0  0 -1      80   -237     231
   65455   0.54438 -1  0  0  0  0      80   -237   -3518
   65465   0.54658 -1  0  0  0  1      79   -237     229
   65655   0.55366  1  0 -2  0 -2      77   -236     188
   73555   1.01590  0  0  0 -2  0      -9   -216    -583
   75355   1.08875 -2  0  0  0  0     -18   -213    -288
   75555   1.09804  0  0 -2  0 -2     -19   -213   -6663
   75565   1.10024  0  0 -2  0 -1     -19   -213   -2762
   75575   1.10245  0  0 -2  0  0     -19   -213    -258
   83655   1.56956  1  0 -2 -2 -2     -65   -202    -242
   85455   1.64241 -1  0 -2  0 -2     -71   -201   -1276
   85465   1.64462 -1  0 -2  0 -1     -71   -201    -529
   93555   2.11394  0  0 -2 -2 -2    -102   -193    -204
   95355   2.18679 -2  0 -2  0 -2    -106   -192    -169
  255555  28.98410  0  0  2  0  2       0    -22   12099
  125755  12.85429  2  0  2  0  2     -39    -27    -664
  127555  12.92714  0  0  2  2  2     -39    -26    -802
  135645  13.39648  1  0  2  0  1     -42    -26    -947
  135655  13.39866  1  0  2  0  2     -42    -26   -5020
  137455  13.47151 -1  0  2  2  2     -43    -26    -954
  145545  13.94083  0  0  2  0  1     -50    -25   -4946
  145555  13.94303  0  0  2  0  2     -50    -25  -26221
  147555  14.02517  0  0  0  2  0     -52    -25     343
  153655  14.41456  1  0  2 -2  2     -67    -24     194
  155655  14.49669  1  0  0  0  0     -73    -23    2062
  157455  14.56955 -1  0  0  2  0     -80    -23     394
  162556  14.91787  0  1  2 -2  2    -200    -15    -714
  163555  14.95893  0  0  2 -2  2    -261    -11  -12203
  164556  15.00000  0  1  0  0  0    -386     -4     289
  165545  15.03886  0  0  0  0 -1    -795     23    -730
  165555  15.04107  0  0  0  0  0    -842     30   36878
  165565  15.04328  0  0  0  0  1    -896     36    5001
  165575  15.04548  0  0  0  0  2    -958     43    -108
  166554  15.08214  0 -1  0  0  0    4491     36     293
  166564  15.08434  0 -1  0  0  1    3309    -50       5
  167555  15.12321  0  0 -2  2 -2     567    -59     525
  173655  15.51259  1  0  0 -2  0      39    -30     395
  175455  15.58545 -1  0  0  0  0      30    -30    2062
  185555  16.13911  0  0 -2  0 -2       2    -28    1129
   55565   0.00221  0  0  0  0  1     266    -93    2793
   57555   0.08214  0  0 -2  2 -2     104    -54   -3100
   65455   0.54438 -1  0  0  0  0      48    -41   -3518
   75555   1.09804  0  0 -2  0 -2      31    -37   -6663
   75565   1.10024  0  0 -2  0 -1      31    -37   -2762
  255555  28.98410  0  0  2  0  2       0     -7   12099
  135655  13.39866  1  0  2  0  2      -1     -6   -5020
  145545  13.94083  0  0  2  0  1      -1     -6   -4946
  145555  13.94303  0  0  2  0  2      -1     -6  -26221
  155655  14.49669  1  0  0  0  0       0     -6    2062
  163555  14.95893  0  0  2 -2  2       6     -6  -12203
  165545  15.03886  0  0  0  0 -1      22     -6    -730
  165555  15.04107  0  0  0  0  0      23     -6   36878
  165565  15.04328  0  0  0  0  1      25     -6    5001
  166554  15.08214  0 -1  0  0  0    -137    -20     293
  167555  15.12321  0  0 -2  2 -2     -19     -7     525
  175455  15.58545 -1  0  0  0  0      -2     -6     395
  185555  16.13911  0  0 -2  0 -2      -1     -6    1129
   55565   0.00221  0  0  0  0  1      89    -28    2793
   57555   0.08214  0  0 -2  2 -2      39    -16   -3100
   65455   0.54438 -1  0  0  0  0      23    -12   -3518
   75555   1.09804  0  0 -2  0 -2      17    -11   -6663
   75565   1.10024  0  0 -2  0 -1      17    -11   -2762
